"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","0.00000","2000","33640","Noraxon MR3 3.20.68","3.20.68","Kevin test","KEVIN","","","male","2025-07-17T16:09:36.565+08:00","EMG 2 channel recording-3"

"time","Activity","Marker","RT VMO (uV)","RT SEMITEND. (uV)"
0.00000,"Activity",,-2.162746977,1.217879733
0.00050,,,-1.247163754,2.133462956
0.00100,,,-0.6367749386,2.438657364
0.00150,,,-0.9419693463,2.438657364
0.00200,,,-1.552358162,2.438657364
0.00250,,,-1.857552569,2.743851771
0.00300,,,-0.6367749386,3.049046179
0.00350,,,0.5840026922,3.049046179
0.00400,,,1.804780323,2.743851771
0.00450,,,1.804780323,3.049046179
0.00500,,,1.499585915,3.964629402
0.00550,,,1.499585915,4.880212625
0.00600,,,1.804780323,4.575018218
0.00650,,,2.415169138,3.964629402
0.00700,,,2.720363546,3.964629402
0.00750,,,3.025557954,4.26982381
0.00800,,,3.025557954,3.964629402
0.00850,,,2.720363546,3.049046179
0.00900,,,1.194391508,3.049046179
0.00950,,,-0.6367749386,3.964629402
0.01000,,,-1.552358162,3.964629402
0.01050,,,-0.0263861232,3.049046179
0.01100,,,2.720363546,2.438657364
0.01150,,,3.635946769,3.049046179
0.01200,,,2.415169138,3.659434994
0.01250,,,2.109974731,3.049046179
0.01300,,,3.635946769,2.743851771
0.01350,,,5.772307623,3.964629402
0.01400,,,6.687890846,4.880212625
0.01450,,,6.382696439,4.880212625
0.01500,,,4.8567244,3.964629402
0.01550,,,0.8891970999,2.743851771
0.01600,,,-4.604302239,1.217879733
0.01650,,,-9.182218354,0.3022965098
0.01700,,,-8.877023947,-0.002897897924
0.01750,,,-5.214691054,1.217879733
0.01800,,,-1.247163754,1.828268548
0.01850,,,-0.0263861232,1.523074141
0.01900,,,-0.0263861232,1.523074141
0.01950,,,-1.247163754,2.438657364
0.02000,,,-3.383524608,3.354240587
0.02050,,,-4.299107831,3.049046179
0.02100,,,-3.0783302,2.743851771
0.02150,,,-1.247163754,3.964629402
0.02200,,,-0.9419693463,5.795795848
0.02250,,,-1.247163754,5.795795848
0.02300,,,-0.0263861232,5.185407033
0.02350,,,2.109974731,5.490601441
0.02400,,,2.415169138,6.406184664
0.02450,,,1.194391508,5.795795848
0.02500,,,0.2788082845,4.26982381
0.02550,,,0.8891970999,3.964629402
0.02600,,,1.804780323,4.575018218
0.02650,,,1.804780323,4.880212625
0.02700,,,2.109974731,4.26982381
0.02750,,,2.109974731,4.880212625
0.02800,,,1.499585915,6.406184664
0.02850,,,0.2788082845,6.711379072
0.02900,,,0.5840026922,4.880212625
0.02950,,,2.109974731,3.964629402
0.03000,,,3.330752362,4.575018218
0.03050,,,3.025557954,5.490601441
0.03100,,,2.415169138,5.490601441
0.03150,,,1.804780323,5.490601441
0.03200,,,0.8891970999,7.016573479
0.03250,,,0.5840026922,8.542545518
0.03300,,,1.194391508,8.847739925
0.03350,,,2.415169138,8.847739925
0.03400,,,3.330752362,9.458128741
0.03450,,,3.025557954,10.06851756
0.03500,,,1.194391508,9.152934333
0.03550,,,-1.857552569,7.626962295
0.03600,,,-5.519885462,6.406184664
0.03650,,,-5.82507987,5.185407033
0.03700,,,-2.467941385,4.26982381
0.03750,,,-0.0263861232,4.575018218
0.03800,,,-0.9419693463,5.795795848
0.03850,,,-4.909496646,6.406184664
0.03900,,,-7.0458575,5.185407033
0.03950,,,-6.130274277,3.964629402
0.04000,,,-5.214691054,3.964629402
0.04050,,,-6.130274277,4.26982381
0.04100,,,-7.0458575,3.659434994
0.04150,,,-6.435468685,2.438657364
0.04200,,,-5.82507987,2.743851771
0.04250,,,-5.82507987,3.964629402
0.04300,,,-5.82507987,3.964629402
0.04350,,,-4.604302239,3.964629402
0.04400,,,-3.0783302,3.964629402
0.04450,,,-2.162746977,3.964629402
0.04500,,,-1.857552569,2.743851771
0.04550,,,-0.6367749386,1.828268548
0.04600,,,0.5840026922,2.743851771
0.04650,,,1.499585915,3.964629402
0.04700,,,2.415169138,3.964629402
0.04750,,,3.941141177,3.354240587
0.04800,,,5.161918808,4.26982381
0.04850,,,5.467113215,6.406184664
0.04900,,,3.941141177,7.016573479
0.04950,,,2.109974731,5.490601441
0.05000,,,0.8891970999,4.575018218
0.05050,,,0.2788082845,4.880212625
0.05100,,,0.8891970999,5.185407033
0.05150,,,2.109974731,3.964629402
0.05200,,,3.330752362,3.354240587
0.05250,,,4.551529992,4.880212625
0.05300,,,5.772307623,7.626962295
0.05350,,,6.687890846,8.542545518
0.05400,,,6.993085254,7.016573479
0.05450,,,6.077502031,5.490601441
0.05500,,,5.467113215,4.880212625
0.05550,,,4.551529992,4.880212625
0.05600,,,2.720363546,5.185407033
0.05650,,,0.8891970999,5.490601441
0.05700,,,-0.0263861232,5.490601441
0.05750,,,0.8891970999,4.26982381
0.05800,,,1.499585915,3.354240587
0.05850,,,0.8891970999,3.354240587
0.05900,,,0.5840026922,4.575018218
0.05950,,,1.499585915,5.490601441
0.06000,,,2.415169138,5.490601441
0.06050,,,1.499585915,4.575018218
0.06100,,,-0.0263861232,4.26982381
0.06150,,,-0.0263861232,4.880212625
0.06200,,,2.720363546,4.880212625
0.06250,,,5.161918808,3.659434994
0.06300,,,4.8567244,1.523074141
0.06350,,,1.804780323,0.6074909175
0.06400,,,-1.552358162,1.217879733
0.06450,,,-3.993913423,2.438657364
0.06500,,,-3.688719016,3.049046179
0.06550,,,-1.247163754,3.049046179
0.06600,,,1.499585915,3.659434994
0.06650,,,3.025557954,4.26982381
0.06700,,,2.109974731,5.185407033
0.06750,,,-0.3315805309,5.185407033
0.06800,,,-2.162746977,3.964629402
0.06850,,,-1.857552569,2.438657364
0.06900,,,-0.0263861232,1.217879733
0.06950,,,1.194391508,1.828268548
0.07000,,,0.5840026922,3.354240587
0.07050,,,0.2788082845,4.880212625
0.07100,,,1.499585915,5.490601441
0.07150,,,2.109974731,4.880212625
0.07200,,,0.2788082845,3.964629402
0.07250,,,-2.162746977,3.964629402
0.07300,,,-3.0783302,4.575018218
